id,invt_amt,x_1,x_2,x_3,x_4,x_5,x_6,x_7,w_1,w_2,w_3,w_4,w_5,w_6,w_7
29,260,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:IGV,,,,0.496144162,0.254887082,0.065157555,0.183811201,,,
30,3110,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:EWC,NYSEARCA:IGM,,,0.460663901,0.189614636,0.041622211,0.149452602,0.15864665,,
31,5210,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:EWC,NYSEARCA:EVX,,,0.473657455,0.282025185,0.002673981,0.162653396,0.078989983,,
32,220,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:EWC,NYSEARCA:JKH,,,0.514259415,0.174292488,0.041783738,0.217717731,0.051946628,,
33,730,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:EVX,,,,0.699032165,0.03049052,0.07127073,0.199206585,,,
34,1790,NYSEARCA:RYE,NYSEARCA:XES,NYSEARCA:VAW,,,,,0.669576627,0.068541334,0.261882039,,,,
35,800,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:PPA,,,,,0.329588357,0.380354879,0.290056763,,,,
36,1770,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:EWC,NYSEARCA:PPA,,0.506228773,0.010903325,0.009521725,0.100431615,0.216948301,0.155966261,
37,4390,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:FVL,NYSEARCA:IGV,,,0.571879781,0.206303182,0.079990934,0.031306936,0.110519166,,
38,120,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:ITA,NYSEARCA:IHI,,,,0.359189376,0.266692737,0.316735782,0.057382105,,,
39,560,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:XME,NYSEARCA:JKH,,,0.357555974,0.222611136,0.086824651,0.063413052,0.269595187,,
40,1050,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:IYM,NYSEARCA:EVX,,,,0.470244561,0.288793155,0.184837194,0.05612509,,,
41,3070,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:IHI,,,,,0.410347583,0.313076957,0.27657546,,,,
42,900,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:EVX,,,,0.617044324,0.205380553,0.06455019,0.113024933,,,
43,1000,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.714771463,0.025460108,0.043649276,0.12177849,0.094340663,,
44,2480,NYSEARCA:IEZ,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:JKH,NYSEARCA:IGM,,,0.572826453,0.099153811,0.041599666,0.124692031,0.161728039,,
45,1760,NYSEARCA:IYE,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:FVL,NYSEARCA:IGV,,,0.803269409,0.041042612,0.140860337,0.005684868,0.009142774,,
46,870,NYSEARCA:IEZ,NYSEARCA:VDE,NYSEARCA:EWC,NYSEARCA:EVX,NYSEARCA:IGM,,,0.432961925,0.153128732,0.314597744,0.093113973,0.006197626,,
47,440,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:EWC,,,0.560388717,0.05979912,0.014302831,0.016002109,0.349507223,,
48,3390,NYSEARCA:RYE,NYSEARCA:XME,NYSEARCA:EWC,NYSEARCA:FVL,NYSEARCA:EVX,,,0.68364777,0.023142507,0.228095746,0.038317693,0.026796285,,
49,1590,NYSEARCA:IEO,NYSEARCA:IYE,NYSEARCA:VOT,,,,,0.725231743,0.070674833,0.204093424,,,,
50,1350,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:EVX,NYSEARCA:IGV,,,,0.515184536,0.240100291,0.030229329,0.214485844,,,
51,1080,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:VOT,NYSEARCA:EVX,,,0.539886848,0.186451323,0.03127099,0.001133651,0.241257187,,
52,2670,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:RYH,,,,0.521248435,0.013318961,0.349790002,0.115642602,,,
53,1240,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XME,,,,0.468147723,0.091524931,0.436858425,0.00346892,,,
54,870,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:EWC,NYSEARCA:VOT,,,0.283991452,0.232868965,0.026503413,0.442686818,0.013949352,,
55,1050,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXI,NYSEARCA:IYM,,,,0.493247627,0.140942762,0.140509134,0.225300478,,,
56,2080,NYSEARCA:IEZ,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:FVL,NYSEARCA:EVX,,,0.53929246,0.095129253,0.12487008,0.107727043,0.132981164,,
57,5550,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PYZ,,,,0.416619104,0.161174545,0.127814107,0.294392244,,,
58,2480,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XBI,NYSEARCA:XES,,,,0.438685685,0.049282354,0.350449092,0.161582868,,,
59,1700,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:JKH,,,,0.420180786,0.297387172,0.126779647,0.155652395,,,
60,1380,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EWC,NYSEARCA:IGV,,,,0.451581396,0.268956301,0.244804906,0.034657396,,,
61,1020,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:EWC,NYSEARCA:JKH,,,0.450236163,0.269619859,0.020651449,0.172553832,0.086938697,,
62,2340,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:VOT,,,,0.649029152,0.064273219,0.07355341,0.213144219,,,
63,1600,NYSEARCA:IEZ,NYSEARCA:IYE,NYSEARCA:VDE,NYSEARCA:VAW,,,,0.189326719,0.307555877,0.284641528,0.218475875,,,
64,1950,NYSEARCA:IEO,NYSEARCA:XES,NYSEARCA:EVX,NYSEARCA:IGM,,,,0.702450691,0.087842492,0.079296152,0.130410665,,,
65,420,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:RYH,,,,0.441472872,0.319948254,0.105191565,0.13338731,,,
66,1160,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:IYM,NYSEARCA:IGV,,,0.264820692,0.458790015,0.06637148,0.084857849,0.125159964,,
67,220,NYSEARCA:XOP,NYSEARCA:XLE,NYSEARCA:PXI,NYSEARCA:EVX,,,,0.669884912,0.075831785,0.155713533,0.09856977,,,
68,430,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:VOT,,,,0.402420631,0.250233561,0.085407483,0.261938324,,,
69,290,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:PYZ,NYSEARCA:VOT,,,,0.477371131,0.455110902,0.013978114,0.053539853,,,
70,1060,NYSEARCA:IEZ,NYSEARCA:IYE,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.202090803,0.540562743,0.133602065,0.123744389,,,
71,2780,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:PXI,,,,,0.436597117,0.041846507,0.521556376,,,,
72,1820,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.646995635,0.153313728,0.024830744,0.174859892,,,
73,1310,NYSEARCA:VDE,NYSEARCA:XME,NYSEARCA:FVL,NYSEARCA:IGV,,,,0.840845433,0.093573962,0.012892199,0.052688406,,,
74,4370,NYSEARCA:IEO,NYSEARCA:PXJ,NYSEARCA:FVL,NYSEARCA:EVX,NYSEARCA:IGM,,,0.652982242,0.12532983,0.032264867,0.071491189,0.117931872,,
75,380,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:EVX,NYSEARCA:IGV,,,0.524062692,0.215081656,0.025196875,0.024322994,0.211335783,,
76,1360,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:EWC,NYSEARCA:EVX,,,,0.485347877,0.177305502,0.190933471,0.146413149,,,
77,2600,NYSEARCA:XOP,NYSEARCA:IHI,NYSEARCA:EWC,,,,,0.834706883,0.150176663,0.015116455,,,,
78,730,NYSEARCA:PXE,NYSEARCA:PXI,NYSEARCA:PYZ,NYSEARCA:VOT,,,,0.820711609,0.08612985,0.063141222,0.030017319,,,
79,190,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XLB,,,,0.233689577,0.129138863,0.610749155,0.026422405,,,
80,1480,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:PXI,NYSEARCA:EWC,,,,0.461175783,0.085054635,0.017422089,0.436347493,,,
81,2330,NYSEARCA:XME,NYSEARCA:JKH,NYSEARCA:IGV,,,,,0.68912253,0.280565056,0.030312414,,,,
82,4080,NYSEARCA:RYE,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGV,,,,0.670940065,0.152397663,0.03537334,0.141288932,,,
83,250,NYSEARCA:RYE,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:IYM,NYSEARCA:EVX,,,0.588534469,0.241538908,0.006027705,0.056845453,0.107053465,,
84,1710,NYSEARCA:IEZ,NYSEARCA:PXJ,NYSEARCA:FVL,NYSEARCA:EVX,NYSEARCA:IGM,,,0.642071496,0.021400528,0.093049516,0.087596226,0.155882234,,
85,610,NYSEARCA:XES,NYSEARCA:JKH,NYSEARCA:VAW,NYSEARCA:IGV,,,,0.752449976,0.089675605,0.010263133,0.147611286,,,
86,3080,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:IGM,,,,0.355874472,0.405709785,0.064271826,0.174143917,,,
87,730,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:VAW,,,0.513217476,0.111737519,0.090642326,0.003000008,0.281402671,,
88,110,NYSEARCA:IEO,NYSEARCA:JKH,NYSEARCA:FVL,NYSEARCA:EVX,,,,0.763234693,0.076158822,0.081718773,0.078887711,,,
89,2240,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:XME,NYSEARCA:JKH,,,,0.531199417,0.280285258,0.019376063,0.169139262,,,
90,5570,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:PYZ,,,,0.309934008,0.533505605,0.077655322,0.078905065,,,
91,2240,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:IYM,,0.383684636,0.137219412,0.006265578,0.145630411,0.013615006,0.313584957,
92,5070,NYSEARCA:RYE,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:JKH,,,,0.696957381,0.053740697,0.157075872,0.09222605,,,
93,2860,NYSEARCA:IEO,NYSEARCA:VDE,NYSEARCA:VAW,,,,,0.623421878,0.079379276,0.297198846,,,,
94,180,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:VAW,,,0.199534998,0.123658212,0.401731658,0.101461684,0.173613448,,
95,380,NYSEARCA:IEO,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:FVL,,,,0.64648412,0.065805419,0.03388646,0.253824002,,,
96,2100,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:JKH,NYSEARCA:FVL,,,0.269859832,0.434084427,0.126568058,0.114113236,0.055374446,,
97,940,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:IYE,NYSEARCA:EWC,NYSEARCA:FVL,,,0.469988423,0.174399518,0.0121482,0.212570579,0.13089328,,
98,1790,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.443353045,0.354474085,0.006170563,0.196002307,,,
99,2300,NYSEARCA:PXJ,NYSEARCA:XLE,NYSEARCA:EWC,NYSEARCA:PTH,,,,0.648954783,0.101858768,0.039355795,0.209830654,,,
100,3170,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:PXE,NYSEARCA:IYM,NYSEARCA:IGV,,,0.561250181,0.069216171,0.227730582,0.022798763,0.119004303,,
101,470,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXI,NYSEARCA:PYZ,,,,0.455381491,0.27675671,0.003515428,0.264346371,,,
102,240,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EWC,NYSEARCA:JKH,,,,0.432820381,0.255965802,0.298296085,0.012917731,,,
103,600,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:PTH,,,,0.509676009,0.19505216,0.13064892,0.16462291,,,
104,1060,NYSEARCA:IEZ,NYSEARCA:PXE,NYSEARCA:JKH,NYSEARCA:FVL,NYSEARCA:EVX,,,0.375712499,0.376119911,0.099922453,0.063044048,0.085201088,,
105,640,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:ITA,,,,0.170062676,0.392904325,0.09452182,0.342511178,,,
106,640,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:EWC,NYSEARCA:FVL,,,0.402157121,0.19771527,0.087903239,0.227491238,0.084733132,,
107,740,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:IYM,NYSEARCA:VOT,NYSEARCA:EVX,,,0.571959275,0.177164163,0.013474151,0.00758768,0.229814732,,
108,4030,NYSEARCA:IEZ,NYSEARCA:XLE,NYSEARCA:PYZ,NYSEARCA:FVL,,,,0.574453177,0.033658429,0.021625905,0.370262489,,,
109,760,NYSEARCA:IEZ,NYSEARCA:ITA,NYSEARCA:XME,NYSEARCA:IHF,,,,0.575942576,0.284171645,0.007816057,0.132069722,,,
110,4410,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:EWC,NYSEARCA:IGV,,,0.561749589,0.185154072,0.031490697,0.151430448,0.070175194,,
111,3290,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:EVX,,,0.488530303,0.14389244,0.183808459,0.136588072,0.047180726,,
112,1040,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:IYM,NYSEARCA:JKH,,,,0.464565415,0.340036925,0.109105424,0.086292236,,,
113,3150,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:EWC,NYSEARCA:PPA,,,,0.534048484,0.096566099,0.257017596,0.112367821,,,
114,900,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EVX,NYSEARCA:IGM,,,0.565816317,0.269766668,0.028365755,0.02709834,0.108952919,,
115,3910,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:XME,NYSEARCA:IGM,,,,0.594124693,0.253927455,0.019268847,0.132679006,,,
116,930,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:ITA,,,,,0.392307041,0.243381013,0.364311945,,,,
117,170,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:VAW,,,0.413023085,0.237320807,0.052806412,0.202305563,0.094544133,,
118,4290,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:PXI,NYSEARCA:IYM,,,0.095612522,0.383374502,0.242884619,0.003004842,0.275123515,,
119,470,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EWC,,,0.370266917,0.149074712,0.045776203,0.119381715,0.315500453,,
120,1680,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.54050706,0.303513686,0.089567002,0.066412252,,,
121,2010,NYSEARCA:XLE,NYSEARCA:XME,NYSEARCA:IYM,NYSEARCA:EVX,,,,0.645542735,0.107923202,0.171137966,0.075396097,,,
122,1500,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:VAW,,,,,0.591165857,0.20066133,0.208172813,,,,
123,710,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:FVL,,,,0.622812331,0.119197647,0.064048654,0.193941368,,,
124,570,NYSEARCA:PXJ,NYSEARCA:XLE,NYSEARCA:IYM,,,,,0.349004508,0.145730608,0.505264885,,,,
125,1250,NYSEARCA:IEZ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:PXI,NYSEARCA:XLB,,,0.147811544,0.321933434,0.223433634,0.211794794,0.095026594,,
126,300,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:IHI,NYSEARCA:XME,,,,0.426484649,0.192940214,0.276868013,0.103707124,,,
127,2630,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:VOT,,,,,0.714069981,0.174194281,0.111735738,,,,
128,2160,NYSEARCA:IYE,NYSEARCA:XME,NYSEARCA:EWC,,,,,0.714842158,0.067839475,0.217318367,,,,
129,840,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:IGV,,,,,0.584265307,0.174776456,0.240958237,,,,
130,750,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:FVL,NYSEARCA:EVX,,,,0.526663343,0.231137726,0.108055979,0.134142952,,,
131,2230,NYSEARCA:IEZ,NYSEARCA:XLE,NYSEARCA:PYZ,NYSEARCA:XLB,,,,0.466015293,0.088176763,0.399935894,0.04587205,,,
132,380,NYSEARCA:IEZ,NYSEARCA:EWC,NYSEARCA:PPA,NYSEARCA:RYH,,,,0.658530956,0.141424503,0.016138337,0.183906204,,,
133,1960,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXI,,,,,0.548523872,0.06762563,0.383850498,,,,
134,2820,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:PPA,NYSEARCA:RYH,,,,0.561839687,0.291021432,0.132679433,0.014459447,,,
135,1610,NYSEARCA:XLE,NYSEARCA:ITA,NYSEARCA:XME,,,,,0.50432855,0.279816747,0.215854703,,,,
136,920,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:EWC,,,,,0.452488731,0.095629474,0.451881795,,,,
137,1410,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:IYM,,,0.161377917,0.079603077,0.375344822,0.103123571,0.280550612,,
138,4700,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:PPA,,,0.478890845,0.011068035,0.064680739,0.234504732,0.21085565,,
139,3980,NYSEARCA:PXE,NYSEARCA:XLE,NYSEARCA:IYM,NYSEARCA:PTH,,,,0.793280486,0.104278148,0.030664269,0.071777096,,,
140,3180,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:IYM,NYSEARCA:VOT,,,0.426400993,0.114031752,0.25811909,0.022894037,0.178554128,,
141,2390,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:XME,NYSEARCA:PTH,,,0.428021423,0.274896029,0.129461897,0.004634763,0.162985888,,
142,2670,NYSEARCA:RYE,NYSEARCA:FVL,NYSEARCA:IGM,,,,,0.817146034,0.116763192,0.066090774,,,,
143,3520,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXI,NYSEARCA:XLB,,,0.397564836,0.244336937,0.05826029,0.206370706,0.093467232,,
144,1450,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:IYM,NYSEARCA:IGV,,,0.292474262,0.43445622,0.082968681,0.071784951,0.118315886,,
145,930,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XME,NYSEARCA:IGV,,,,0.580332385,0.266927426,0.018780464,0.133959725,,,
146,470,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:FVL,NYSEARCA:EVX,,,0.618698509,0.154778312,0.036558028,0.102786218,0.087178932,,
147,1720,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:PXE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.540663073,0.103786602,0.221677612,0.013080758,0.120791955,,
148,690,NYSEARCA:XOP,NYSEARCA:XLE,NYSEARCA:XME,NYSEARCA:EVX,NYSEARCA:IGM,,,0.698080817,0.060876115,0.085401154,0.045584159,0.110057755,,
149,860,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:EWC,NYSEARCA:IYM,NYSEARCA:JKH,,,0.459566923,0.212843561,0.248827919,0.023215353,0.055546244,,
150,4010,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGV,,,,0.549122082,0.264855231,0.058590539,0.127432148,,,
151,1800,NYSEARCA:PXJ,NYSEARCA:VDE,NYSEARCA:PPA,NYSEARCA:RYH,,,,0.46194829,0.388569949,0.051605879,0.097875881,,,
152,3730,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:IYM,NYSEARCA:VAW,,,0.458984783,0.216914462,0.022300962,0.21957935,0.082220443,,
153,760,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:PXI,NYSEARCA:XLB,,,0.103605941,0.377375806,0.197545181,0.209652471,0.111820601,,
154,1260,NYSEARCA:IEO,NYSEARCA:IYE,NYSEARCA:IGM,,,,,0.749977662,0.055574317,0.194448022,,,,
155,630,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:PXI,NYSEARCA:XLB,,,,0.431997471,0.248606653,0.247994852,0.071401023,,,
156,560,NYSEARCA:IEZ,NYSEARCA:EWC,NYSEARCA:JKH,NYSEARCA:EVX,,,,0.521100518,0.35667719,0.002038799,0.120183494,,,
157,3370,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:EWC,NYSEARCA:FVL,NYSEARCA:IGM,,,0.293334203,0.362853991,0.209404059,0.045692953,0.088714795,,
158,2630,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:EWC,NYSEARCA:IGM,,,,0.552647522,0.220520697,0.171776315,0.055055467,,,
159,230,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:JKH,NYSEARCA:FVL,,,,0.622518291,0.155587321,0.077977158,0.143917229,,,
