ID,LIMIT,BALANCE,INCOME,RATING,GENDER,EDUCATION,MARITAL,AGE,S1,S2,S3,S4,S5,B1,B2,B3,B4,B5,R1,R2,R3,R4,R5
44,340000,0,348811,1,1,1,1,49,0,0,-1,-1,-1,-11,-11,2894,0,530,0,2905,0,530,0
45,260000,2466.8,270805,0,0,1,2,30,0,0,0,0,0,15558,16986,17700,19401,21067,2000,1000,2000,2000,2000
46,220000,437.5,263572,0,1,1,2,41,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,130000,907.9,140114,0,1,1,2,27,0,0,0,0,0,-26,3955,0,708,2773,3981,0,708,2773,860
48,300000,52162.6,324162,0,0,1,2,29,0,0,0,0,0,305851,245210,204845,190840,165498,10633,7016,10058,7125,5035
49,50000,11721.15,35706,1,0,3,1,47,2,0,0,0,0,65198,48951,17744,36230,37128,2600,635,657,750,501
50,30000,4649.4,26835,0,1,2,2,25,2,2,2,2,2,27456,27915,27185,28806,28208,1200,0,2200,0,2500
51,280000,0,319382,1,1,1,1,32,0,-1,0,0,0,0,3508,3508,-200,-200,3508,0,0,0,0
52,50000,3951.15,40438,0,0,3,2,26,2,2,0,0,0,23720,23046,23314,23801,24354,0,950,862,947,814
53,200000,271.95,194548,0,1,3,1,42,0,0,0,2,-1,1645,1408,1800,819,886,1108,669,0,886,2415
54,360000,1265.25,379578,0,0,2,1,32,0,0,-1,-1,0,9835,8217,2963,15437,15722,2041,2980,16038,8032,10095
55,50000,8231.65,37134,0,0,2,2,23,0,0,0,0,-1,51310,49956,19485,13925,15706,2170,1200,4000,15706,10000
56,280000,272.65,308496,0,1,1,2,31,0,0,0,0,0,0,940,0,699,0,940,0,699,0,399
57,50000,7459.725,44874,0,1,1,2,43,0,0,0,0,0,39610,26538,20818,19759,17907,1279,687,690,671,506
58,180000,43.225,204525,0,1,3,1,31,0,0,0,0,0,1562,1548,768,0,0,1548,768,0,0,0
59,140000,0,163413,1,1,2,1,37,-1,-1,0,0,0,177,1460,1460,0,0,1460,0,0,0,0
60,120000,3264.275,105221,1,1,1,2,33,0,0,0,0,0,19844,20908,21560,22214,22845,1400,1000,1000,1000,2000
61,20000,3500.175,16072,0,0,2,2,30,0,0,0,0,0,20041,20205,19998,20367,20399,1290,694,869,2102,1214
62,130000,1545.25,119326,1,1,1,2,30,2,2,0,0,0,9533,10220,10353,10636,10711,1000,600,600,400,600
63,60000,9613.1,55156,1,1,2,2,29,0,0,0,0,0,85672,41483,19394,18893,19043,1572,1000,700,668,6000
64,360000,2017.75,391576,0,1,1,2,50,-1,-1,-1,-1,-1,11753,0,2855,1730,0,0,2855,1730,0,11150
65,360000,4695.775,385116,0,0,1,2,32,0,0,0,0,0,23626,20571,15423,15001,14917,2636,1006,1003,1011,2003
66,260000,24082.45,308012,1,1,3,1,41,0,0,2,2,0,137133,134970,88806,86858,89970,9000,4500,0,5000,3700
67,50000,8857.1,57820,0,1,3,1,31,0,0,0,0,0,43616,43339,29735,30360,29697,1863,1042,1081,1081,1072
68,20000,9.45,15347,1,0,2,2,43,-1,-1,-1,-1,-1,54,54,54,54,54,0,0,0,0,2966
69,80000,12921.825,71054,1,0,1,1,34,0,2,2,2,0,78934,76649,81845,80021,82334,0,7500,0,4200,3000
70,210000,348.775,226537,1,1,1,2,30,0,0,0,-1,0,2722,2753,291,582,291,1000,0,582,0,2682
71,500000,66572.975,546936,0,0,2,2,30,0,0,0,0,0,377866,-3634,-3634,-3634,-3634,3634,0,1907,0,210000
72,50000,8980.825,58090,1,0,2,1,31,0,0,0,0,0,52214,50260,32502,27697,25940,2300,1100,1000,1000,1500
73,30000,5216.75,20771,0,1,2,2,27,0,0,0,0,0,1651,0,0,0,0,0,0,0,0,0
74,260000,3141.075,252471,0,0,2,1,38,-1,-1,-1,-1,-1,5693,28669,1207,2654,1441,28811,1313,2667,1447,2588
75,200000,768.95,201789,0,0,1,1,40,-1,-1,-1,-1,-1,3366,9379,4253,4403,4326,9436,4274,4424,4347,10741
76,290000,1217.825,277997,0,1,2,2,41,-1,-1,-1,-1,-1,6891,980,4059,2473,3332,980,4059,2473,3332,3203
77,30000,1821.75,26719,0,0,2,2,27,0,0,0,0,0,11431,12439,12530,12790,12891,1503,594,610,462,478
78,260000,1400,297991,0,1,2,0,38,-1,-1,-1,-1,0,8000,8000,8000,24406,18043,8000,8000,24406,2000,389
79,500000,15545.6,487368,0,0,2,1,33,0,0,0,0,0,90687,84613,89944,80339,77214,5016,10055,2513,3009,14542
80,180000,0,200983,0,1,2,2,35,0,0,-1,-1,0,0,0,2072,-28,-28,0,2072,0,0,0
81,50000,8769.25,48724,1,0,3,2,30,0,0,0,0,0,50322,27078,19107,19506,20024,1620,1000,707,841,657
82,450000,1682.1,482996,0,1,1,2,40,-1,-1,-1,0,0,19253,6665,0,0,0,6665,0,0,0,8768
83,110000,13729.275,119665,0,0,3,2,24,0,0,0,0,0,48208,8882,47695,48461,48903,1900,40000,2000,1800,1400
84,340000,33499.55,400827,0,0,1,2,29,0,0,0,0,0,190339,148694,150872,149218,152598,6500,6000,6000,6000,5000
85,20000,86.8,10000,0,1,2,2,22,2,2,-1,-1,-1,496,-4,400,2800,17333,0,404,2800,17333,346
86,50000,0,49838,1,1,2,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,140000,8210.125,128062,0,1,3,1,35,0,0,0,0,0,115681,110827,113078,98901,100466,4130,4600,3600,3600,3708
88,400000,976.675,477767,0,1,1,1,31,-1,-1,-1,-1,-1,2833,1162,325,325,325,1162,325,325,325,325
89,50000,2727.2,40928,0,1,2,2,40,-1,-1,0,0,0,4377,0,0,0,0,0,0,0,0,0
90,130000,1308.475,155875,0,0,3,2,53,-1,-1,0,0,0,6519,1403,5773,2464,2108,1411,5790,2571,2214,4172
91,70000,6028.575,61439,1,0,2,2,29,0,0,0,0,0,35009,21307,8840,8131,7535,1300,500,1000,1000,1500
92,40000,3348.275,28900,0,1,1,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,130000,68.25,131127,0,1,1,2,29,-1,0,0,0,0,99235,98080,97224,97940,99170,4368,3449,3713,3610,3531
94,70000,7532.875,81853,0,1,2,1,40,0,0,0,0,0,44088,45102,45861,47951,49252,2050,1809,3000,2251,1627
95,250000,1133.3,296737,0,0,1,2,30,0,0,0,0,0,10023,12947,16095,23343,26028,5000,4000,10000,4000,5000
96,150000,27344.1,165291,0,1,0,1,25,0,0,0,0,0,121999,28119,100540,88865,88526,1867,92920,3578,3000,2200
97,300000,49881.65,330138,0,0,2,2,31,0,0,0,0,0,291480,298378,131103,128742,124882,15056,5027,5007,5063,3039
98,20000,0,21793,0,0,2,2,24,0,0,0,0,-1,19398,1238,5300,0,16100,1000,5300,0,16100,0
99,20000,1202.6,16625,0,1,2,2,23,0,0,0,0,0,7805,8801,18601,18909,39156,1200,10000,538,10000,600
100,20000,2581.25,22193,1,1,1,2,24,2,0,0,0,2,14229,16438,16770,17995,17556,2773,605,1500,0,1456
101,210000,0,211442,1,1,3,1,42,-1,-1,0,0,-1,1200,12466,16870,17741,13049,12466,6004,6000,7282,9731
102,220000,58.1,255829,0,0,1,2,31,0,0,0,0,0,332,328,1024,1888,1132,329,1029,1897,1137,1499
103,300000,375.2,345666,0,0,1,2,32,-1,-1,-1,-1,-1,2085,2431,2198,14487,725,2431,2198,14487,725,7818
104,120000,9140.95,112081,0,0,1,2,38,0,0,0,0,-1,39644,19920,9155,14155,3867,1800,1500,14000,4000,2850
105,50000,1191.05,54325,1,1,2,2,25,2,0,0,0,0,6552,7561,7712,7936,47743,1125,276,348,40000,1151
106,210000,738.675,244047,0,1,2,1,42,-1,-1,0,0,0,336,0,0,0,0,0,0,0,0,0
107,170000,834.225,179071,1,1,2,2,56,-1,-1,-1,-1,-1,0,451,0,424,1482,451,0,424,1482,688
108,60000,4789.575,54694,0,1,1,2,23,0,0,0,0,0,27961,28509,28628,28785,28921,1452,1009,1040,1048,856
109,20000,3012.275,10000,1,0,2,1,41,2,3,2,2,2,19041,18449,17857,18735,19277,0,0,1320,1000,0
110,50000,7338.1,49187,1,0,2,2,27,0,0,0,0,2,38411,30659,30963,30505,28696,1712,1016,2500,0,2848
111,180000,0,170975,0,1,3,1,43,-1,-1,-1,0,0,8016,1200,0,0,0,1200,0,0,0,0
112,20000,3600.45,11831,1,1,2,1,28,2,2,0,0,0,21041,19055,15335,10812,6483,0,550,288,400,0
113,310000,0,339661,0,1,1,2,32,0,-1,0,0,0,0,326,326,-235,-235,326,0,0,0,1200
114,130000,2087.05,148612,0,0,3,1,48,0,2,-1,-1,-1,18095,5552,3038,11094,8670,3,3041,11202,8671,6485
115,160000,26843.6,185031,0,1,2,2,25,0,0,0,0,0,143297,140984,120742,115637,111354,7000,5000,5000,5000,10500
116,500000,8436.05,532530,0,1,1,2,33,0,0,0,0,0,45445,43875,34003,33079,28257,1800,1500,1500,2000,10200
117,20000,3311,10000,0,0,2,2,29,0,0,0,0,0,20302,19477,20210,20077,20022,1300,1000,800,700,750
118,70000,2459.45,66139,0,0,3,2,53,0,0,0,0,0,15078,15787,16100,16437,16764,1263,576,596,600,622
119,130000,138.6,133066,0,1,2,1,27,-1,-1,-1,0,0,0,396,485,46773,47313,396,485,46684,1700,1712
120,310000,31539.375,366453,0,1,2,1,40,0,0,0,0,0,85799,103459,80237,74627,52057,20000,10000,6000,5000,5000
121,20000,2195.725,10000,1,1,3,2,25,-1,-1,0,0,0,14699,900,900,0,0,900,0,0,0,0
122,180000,630,185476,0,1,3,1,41,-1,-1,-1,0,-1,5184,5719,0,0,7632,5719,0,0,7632,0
123,30000,2205.525,25380,0,1,3,1,43,2,2,2,2,2,13103,13785,13911,13548,14465,1200,646,0,1300,1000
124,50000,1918,45032,0,1,2,1,39,0,0,0,2,0,12030,13125,14104,13735,14307,1300,1200,0,800,600
125,210000,47.6,206631,0,1,1,2,27,-1,-1,-1,-1,-1,894,2168,762,660,3140,2168,762,660,3140,0
126,90000,15460.55,80124,1,1,1,2,42,0,0,0,0,0,85975,86302,67592,69518,68228,3500,3000,3000,3000,2800
127,20000,3447.15,10000,0,1,2,1,58,0,0,0,0,0,19224,18690,17392,16408,16343,1254,596,592,594,553
128,130000,28482.475,135270,1,0,1,1,29,2,0,0,0,-1,143233,130477,99119,101535,89883,6000,5000,5000,100207,1622
129,60000,0,60852,0,1,2,2,24,0,0,0,-1,-1,0,0,0,150,560,0,0,150,560,1170
130,310000,2508.1,316171,0,1,2,1,35,0,-1,0,0,-1,8257,11505,17264,10919,3185,11512,7271,5000,3215,15558
131,80000,14264.425,88597,0,0,2,2,40,0,0,-1,-1,-1,65605,62779,634,892,412,3000,1000,1000,412,3542
132,200000,1270.675,188181,0,1,2,1,40,-1,-1,-1,0,-1,32333,12610,7850,977,9205,13587,7850,0,9205,0
132,200000,1270.675,188181,0,1,2,1,40,-1,-1,-1,0,-1,32333,12610,7850,977,9205,13587,7850,0,9205,0
133,180000,16528.75,204364,0,0,1,2,27,0,0,0,0,0,96632,99127,100581,102800,104931,5000,4000,4000,4000,4200
134,200000,0,219965,1,1,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,180000,235.2,191600,1,1,3,1,63,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,10000,3120.95,10000,0,0,2,2,23,0,-1,-1,0,0,8511,1651,9984,10096,9847,1651,9984,415,358,114
137,50000,8994.3,42777,0,0,2,2,30,0,0,0,0,-1,52908,7456,7608,7978,10400,1000,152,370,11000,511
138,210000,7743.575,243533,0,0,3,1,33,0,0,0,0,0,45146,30089,30400,24236,22002,3027,10018,6,66,4008
139,20000,3075.8,16266,0,1,0,2,22,0,0,0,0,0,17632,18385,18657,8539,0,1200,1000,1000,0,0
140,50000,8349.075,43198,0,0,2,2,31,0,0,0,0,0,47838,49597,43885,0,0,5230,1927,0,0,0
141,290000,34505.625,334724,0,0,1,2,43,0,0,0,0,0,210932,217394,221950,228203,233974,10000,10000,10000,10000,5000
142,360000,2905,430323,0,1,1,2,37,0,0,0,0,-1,19190,20384,23255,22495,380,2384,3271,2509,381,2469
143,500000,410.025,540280,0,1,2,1,38,-1,0,0,-1,0,4666,3492,3008,16871,19188,2506,2015,16883,5013,8031
144,50000,4444.125,39771,0,1,2,1,41,0,0,0,0,0,26421,27741,27982,28589,29157,1760,1001,1057,1063,5699
145,180000,741.3,168650,0,0,2,2,25,0,0,0,0,-1,5230,6570,7192,6437,12499,2000,1018,6154,12527,5016
146,200000,0,226833,0,1,2,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,140000,14129.5,127144,0,0,2,1,48,0,0,0,0,0,82439,84125,85968,88679,99558,3060,3241,4264,12400,0
148,360000,1120.35,409692,1,1,2,1,46,-1,-1,-1,-1,-1,13301,3762,7483,6399,9145,3785,7527,6418,9187,15762
149,60000,10375.925,55950,0,1,2,2,34,0,0,0,0,0,60720,59503,49305,28903,28577,2267,1000,1100,1300,1025
150,110000,16085.125,108569,0,0,2,2,24,0,0,0,0,0,92168,90705,40086,41449,42260,3818,1426,2000,2000,3261
151,50000,3126.9,39278,0,0,2,2,28,0,0,0,0,0,18028,38126,18690,19082,19505,20809,668,692,740,632
152,130000,68.25,151965,0,1,2,2,27,-1,-1,-1,-1,-1,390,390,390,390,380,390,390,390,380,400
153,20000,1521.275,10000,0,0,1,2,23,0,0,0,0,0,10045,11776,11776,10886,-1000,2000,0,0,0,0
154,200000,345.1,226313,1,1,1,1,35,2,-1,-1,-1,-1,582,1891,0,1908,290,1891,0,1908,290,3100
155,10000,697.025,10000,1,0,3,2,41,2,2,0,0,2,4764,5528,7420,8298,8019,1000,2000,1000,0,1390
156,330000,877.45,328976,0,1,1,2,30,-1,0,0,0,0,59970,18585,13835,45476,25125,18585,13835,45476,25125,21370
157,360000,1673.175,367127,0,1,2,1,34,0,-1,-1,0,0,5866,1297,0,0,0,1297,0,0,0,444
158,230000,613.025,243479,0,1,2,1,46,-1,-1,-1,-1,-1,3354,858,5505,2263,10352,858,5505,2263,10352,13000
159,140000,364.175,149444,1,0,2,1,37,2,-1,0,-1,-1,991,1982,991,1091,1420,1982,0,1091,1420,7351
160,50000,443.8,39890,0,0,1,1,38,-1,-1,-1,-1,-1,3147,8321,4453,4038,4764,8321,4453,4038,4764,3662
161,30000,4122.825,16925,0,0,2,2,31,0,0,0,0,-1,23381,540,150,-30,170,500,0,600,200,5183
162,170000,0,182567,0,0,1,2,29,0,0,0,-1,-1,0,0,0,1015,0,0,0,1015,0,0
163,50000,8634.5,44660,0,1,2,2,32,2,0,0,0,0,48297,49255,8838,9011,9872,3000,1000,1000,1000,1000
164,290000,123.025,293507,1,1,1,1,35,-1,0,0,-1,-1,-20,-20,-20,2663,-677,0,0,2800,0,0
165,140000,24300.325,154697,1,0,1,2,43,0,0,0,0,0,141393,135784,136258,137747,138593,4779,6000,6000,6000,5200
166,110000,8656.2,106094,0,0,2,1,39,0,0,0,0,0,40359,34533,36819,32467,35806,3000,3000,3000,4000,3000
167,170000,22382.85,189222,0,0,1,2,27,0,0,0,0,0,131631,133090,130937,134043,137023,5090,4937,5043,5023,11939
168,390000,8691.725,434446,0,1,2,1,31,0,0,0,0,0,33900,33545,16666,0,0,17000,333,0,16666,13807
169,160000,273.35,176991,0,0,1,1,47,0,0,0,0,0,1499,-3,-3,1274,0,0,0,1277,0,0
170,20000,3580.5,15410,0,1,2,1,37,3,2,0,0,0,19860,19100,18500,18500,18500,0,0,0,0,4500
171,40000,6458.2,40697,0,0,1,2,24,0,0,2,0,0,34372,38496,37580,38820,39693,6700,0,2000,1700,1400
172,400000,1226.925,420918,0,0,2,1,37,-1,-1,-1,-1,-1,9639,8102,8585,12633,20338,8501,9003,13000,20500,11000
173,260000,770,283144,0,1,2,2,29,0,0,0,0,0,942,1058,2106,2282,2531,1058,2106,2282,2531,0
174,260000,36334.725,306614,0,1,3,1,52,0,0,0,0,0,212821,214885,219204,223899,228279,6430,6495,6849,6799,32430
175,240000,31533.075,251462,0,0,1,2,48,3,4,3,2,0,191054,192447,188156,183299,180090,6000,0,0,9013,6183
176,230000,2221.8,274104,0,1,2,1,38,0,0,0,0,0,9883,2035,6337,3388,2132,2035,6337,3388,2132,2204
177,50000,857.5,39800,0,0,2,1,45,-1,-1,-1,0,0,7222,3150,0,0,0,3150,0,0,0,2977
178,400000,312.025,399753,0,0,1,2,37,-1,-1,-1,-1,-1,1251,629,0,303,219,629,0,303,219,1640
179,30000,5124.875,27353,0,0,2,1,31,0,0,0,0,0,29390,30300,29463,29531,29901,1730,1154,1034,1212,1054
180,300000,9146.9,354697,0,0,1,2,37,0,0,0,0,0,53440,54615,47146,47486,16937,3011,582,602,627,587
181,100000,1325.8,96756,0,1,1,2,24,-1,2,-1,-1,2,15532,7626,11896,15520,7156,0,11896,11008,0,23164
182,130000,772.975,147723,0,0,1,2,26,-1,0,0,0,0,93163,90056,69832,46645,11869,5000,3000,12000,10000,3500
183,180000,1178.45,187182,0,1,1,2,41,0,0,0,0,0,7752,8763,8938,8568,9357,1135,310,378,1000,0
184,130000,17809.225,126804,1,0,3,2,24,2,0,0,0,0,41823,33740,17009,11580,0,1407,347,11,0,0
185,130000,0,120841,0,1,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,50000,30.275,51117,0,1,2,1,57,-1,-1,0,0,0,274,0,0,0,0,0,0,0,0,2590
187,230000,34.65,232846,1,1,2,1,36,0,0,0,0,-1,29430,22925,6120,6519,12051,22993,6167,6519,12086,5948
188,140000,23856.7,158762,0,0,3,1,35,0,0,0,0,0,138438,0,0,0,0,0,0,0,0,0
189,60000,7269.5,70625,0,0,2,2,30,-1,-1,-1,-1,0,390,390,0,15666,15915,390,0,16056,1000,390
190,30000,68.25,32960,0,0,2,1,23,-1,-1,-1,-1,-1,390,390,0,780,0,390,0,780,0,0
191,40000,6016.15,41476,1,1,3,1,39,0,2,2,2,2,37584,38072,37160,39628,40428,1400,0,3081,1600,0
192,250000,1236.725,258679,0,1,2,1,40,2,2,0,0,-1,998,0,0,0,1604,0,0,0,1604,0
193,20000,6198.325,10000,0,0,2,1,53,0,0,0,0,0,31195,26849,23060,23060,-129,0,0,0,129,18143
194,120000,19278.35,128311,1,0,2,1,27,3,2,0,0,3,107008,103800,106075,115747,113999,0,4000,11000,0,0
195,210000,15154.65,240521,0,1,2,2,29,0,0,0,0,0,88304,90648,93164,94167,97672,4000,4000,10000,5000,3000
196,380000,437.5,442002,1,0,1,2,33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,130000,66.675,117249,0,0,2,2,28,-1,-1,-1,0,0,550,547,226,73,-121,548,226,105,89,0
198,80000,13920.375,89891,1,1,2,1,49,0,0,0,0,0,80932,22320,22765,23393,23470,1364,809,989,930,1216
199,80000,630.175,75017,1,1,2,1,31,0,-1,0,-1,-1,-876,6440,2802,1290,4547,9242,0,1290,4547,1850
200,140000,10446.275,148817,0,0,2,2,36,0,0,0,0,2,61732,62411,64372,70015,68745,2300,3000,6700,0,3000
201,220000,22324.925,241655,0,1,2,0,50,0,0,0,0,0,116768,55863,57079,51202,53195,2000,2000,2000,3200,2001
202,20000,1088.15,14202,1,1,2,2,23,2,2,2,2,2,6959,8635,8350,9063,8771,1800,0,1000,0,1000
203,200000,26.25,239737,1,1,2,1,43,2,2,2,-1,-1,150,150,150,2500,0,0,0,2500,0,0
204,50000,6502.825,50914,0,1,2,1,24,0,0,0,0,0,30814,27382,28081,28578,29450,1500,1153,1100,1346,960
205,20000,3504.725,13678,0,0,2,2,30,0,0,0,0,0,18971,19339,19733,19799,10400,1153,547,611,600,0
206,230000,6399.925,265446,0,0,3,2,37,0,0,0,-1,0,35484,41862,21655,64645,44627,10010,5000,64667,5003,3016
207,230000,40607.7,260277,1,1,2,2,29,2,2,0,0,0,236365,229553,190525,192974,186407,0,6829,7300,7000,7000
208,60000,0,68461,0,1,2,2,24,0,-1,-1,0,0,0,1668,844,200,2930,1668,844,1044,2930,3783
209,50000,3270.925,44628,1,0,3,1,54,2,2,0,0,0,21072,20039,20042,20097,20288,0,700,750,900,692
210,130000,527.625,137287,0,0,3,1,40,0,-1,-1,0,0,2620,1330,0,0,0,1330,0,0,0,0
211,20000,3028.2,10853,0,1,2,2,27,0,-1,2,2,2,0,26373,26644,26079,27941,26373,1000,0,2300,1200
212,440000,8715.525,501108,0,1,2,2,31,0,0,0,0,-1,25781,18400,10978,1175,32857,4375,271,497,34255,1048
213,150000,39.725,135758,0,1,1,2,23,-1,-1,-1,-1,0,6686,11609,3234,1414,5281,11609,3623,1414,5281,2822
214,410000,1244.95,457167,0,0,2,2,42,-1,-1,-1,0,-1,8223,6557,16128,7539,5300,6645,16141,0,5300,5600
215,320000,7571.375,376695,0,0,2,1,32,0,0,0,0,0,28007,24986,23844,20650,0,3019,2022,2000,0,82600
216,30000,4723.25,23214,0,0,2,2,26,0,0,0,2,0,24706,25022,26405,25861,27778,2000,2100,0,2500,1840
217,80000,13165.95,75679,0,0,2,2,29,2,0,0,0,0,76417,76916,51070,52727,54847,5090,2001,3000,3000,3000
218,50000,4928.7,57008,1,1,3,1,47,3,2,2,2,5,27432,28668,29191,35551,34420,2000,1300,7000,0,0
219,50000,8831.9,43968,1,0,2,2,39,2,0,0,0,0,48621,49987,19663,16769,16550,2600,650,752,596,578
220,140000,242.9,155339,0,1,1,2,52,-1,-1,-1,0,0,0,980,0,0,0,980,0,0,0,0
221,500000,1363.075,522857,0,1,1,1,38,-1,-1,-1,-1,-1,9656,7477,8370,8890,6424,7488,8370,8890,6424,21032
222,60000,10336.025,71760,0,1,3,1,48,0,0,0,0,0,53377,37418,37543,35447,35641,1900,1500,1300,1300,1300
223,150000,1030.4,167790,0,0,1,2,35,-1,0,-1,0,0,0,0,11310,11310,0,0,11310,0,0,0
224,130000,13948.375,138368,0,0,0,2,46,0,0,0,0,0,59716,38343,37834,37429,36991,1600,1300,1400,1400,2000
225,20000,3250.975,16399,0,0,2,2,41,0,0,0,0,0,18961,18126,16557,17519,17111,2000,1000,3000,2000,3000
226,310000,865.025,330897,0,0,2,1,43,-1,-1,-1,-1,-1,2691,2060,2004,2503,814,2060,2018,2505,816,3052
227,90000,136.5,97648,0,0,2,1,42,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
